DrawAllocationNonRefactored,DrawAllocationRefactored,FloatMathNonRefactored,FloatMathRefactored,HandlerLeakNonRefactored,HandlerLeakRefactored,RecycleNonRefactored,RecycleRefactored,UseSparseArraysNonRefactored,UseSparseArraysRefactored,UsevalueOfNonRefactored,UsevalueOfRefactored,ViewHolderNonRefactored,ViewHolderRefactored
Agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Don't know,Strongly disagree,Neither agree nor disagree,Don't know,Don't know,Disagree,Agree,Don't know,Agree
Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Don't know,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Disagree
Don't know,Don't know,Disagree,Neither agree nor disagree,Agree,Don't know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Don't know
Disagree,Don't know,Agree,Disagree,Don't know,Don't know,Don't know,Don't know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree
Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
Neither agree nor disagree,Neither agree nor disagree,Disagree,Don't know,Agree,Disagree,Don't know,Disagree,Agree,Don't know,Disagree,Agree,Disagree,Disagree
Disagree,Neither agree nor disagree,Agree,Disagree,Don't know,Disagree,Neither agree nor disagree,Neither agree nor disagree,Don't know,Don't know,Disagree,Agree,Disagree,Agree
Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree
Strongly disagree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
Don't know,Agree,Agree,Disagree,Don't know,Neither agree nor disagree,Strongly disagree,Don't know,Agree,Don't know,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree
Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Don't know,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree
Agree,,Neither agree nor disagree,Agree,Don't know,,,Strongly agree,Disagree,Strongly agree,,Don't know,Agree,Agree
Agree,,Agree,Disagree,Disagree,,,Disagree,Disagree,Disagree,,Agree,Agree,Disagree
Neither agree nor disagree,,Strongly agree,Strongly disagree,Strongly agree,,,Neither agree nor disagree,Disagree,Agree,,Neither agree nor disagree,Agree,Disagree
Disagree,,Disagree,Agree,Neither agree nor disagree,,,Neither agree nor disagree,Disagree,Agree,,Neither agree nor disagree,Disagree,Disagree
Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Agree,,,Neither agree nor disagree,Agree,Agree,,Agree,Agree,Agree
Agree,,Agree,Disagree,Agree,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Agree,Strongly disagree,Agree
Disagree,,Disagree,Disagree,Agree,,,Agree,Agree,Agree,,Agree,Strongly disagree,Strongly disagree
Disagree,,,,Don't know,,,Strongly agree,,,,Disagree,,
Disagree,,,,Disagree,,,Disagree,,,,Neither agree nor disagree,,
Agree,,,,Disagree,,,Neither agree nor disagree,,,,Neither agree nor disagree,,
Don't know,,,,Disagree,,,Neither agree nor disagree,,,,Neither agree nor disagree,,
Disagree,,,,Agree,,,Neither agree nor disagree,,,,Strongly agree,,
Agree,,,,Neither agree nor disagree,,,Strongly disagree,,,,Agree,,
Strongly disagree,,,,Strongly agree,,,Agree,,,,Strongly disagree,,
