datetime,cpu,mem
Wed Sep 25 11:58:14 GMT 2019,28,11936
Wed Sep 25 11:58:19 GMT 2019,36,14855
Wed Sep 25 11:58:25 GMT 2019,36,15675
Wed Sep 25 11:58:50 GMT 2019,0.1,11956
Wed Sep 25 11:58:56 GMT 2019,0.1,14780
Wed Sep 25 11:59:01 GMT 2019,0.1,15602
Wed Sep 25 11:59:07 GMT 2019,17,16027
Wed Sep 25 11:59:12 GMT 2019,17,16559
Wed Sep 25 11:59:18 GMT 2019,17,17061
Wed Sep 25 11:59:24 GMT 2019,14,18676
Wed Sep 25 11:59:29 GMT 2019,25,19081
Wed Sep 25 11:59:35 GMT 2019,25,19390
Wed Sep 25 11:59:40 GMT 2019,25,19833
Wed Sep 25 11:59:46 GMT 2019,29,20141
Wed Sep 25 11:59:52 GMT 2019,29,20512
Wed Sep 25 11:59:57 GMT 2019,20,20846
Wed Sep 25 12:00:23 GMT 2019,0.1,11805
Wed Sep 25 12:00:29 GMT 2019,21,14792
Wed Sep 25 12:00:34 GMT 2019,0.1,15623
Wed Sep 25 12:01:00 GMT 2019,0.1,11912
Wed Sep 25 12:01:06 GMT 2019,0.1,14823
Wed Sep 25 12:01:11 GMT 2019,0.1,15622
Wed Sep 25 12:01:17 GMT 2019,0.1,16219
Wed Sep 25 12:01:22 GMT 2019,0.1,16737
Wed Sep 25 12:01:28 GMT 2019,19,17223
Wed Sep 25 12:01:33 GMT 2019,31,18968
Wed Sep 25 12:01:39 GMT 2019,25,19296
Wed Sep 25 12:01:45 GMT 2019,25,19546
Wed Sep 25 12:01:50 GMT 2019,25,19884
Wed Sep 25 12:01:56 GMT 2019,17,20190
Wed Sep 25 12:02:01 GMT 2019,17,20545
Wed Sep 25 12:02:07 GMT 2019,32,20881
Wed Sep 25 12:02:34 GMT 2019,0.1,11735
Wed Sep 25 12:02:40 GMT 2019,0.1,14873
Wed Sep 25 12:02:45 GMT 2019,0.1,15453
Wed Sep 25 12:03:12 GMT 2019,20,11830
Wed Sep 25 12:03:17 GMT 2019,40,14711
Wed Sep 25 12:03:23 GMT 2019,34,15488
Wed Sep 25 12:03:53 GMT 2019,24,11862
Wed Sep 25 12:03:59 GMT 2019,0.1,14831
Wed Sep 25 12:04:31 GMT 2019,23,11917
Wed Sep 25 12:04:37 GMT 2019,32,14730
