IssueName,Category,device,subject,android_cpu,android_mem
DrawAllocation,NonRefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsappdrawallocationapk,19.39480178,17808.74154
DrawAllocation,RefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsappafterdrawallocationapk,20.2907285,19627.08239
HandlerLeak,NonRefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsapphandlerleakapk,17.90882829,16126.3168
HandlerLeak,RefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsappafterhandlerleakapk,17.0995576,15397.84279
Recycle,NonRefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsapprecycleapk,20.13582517,21003.70782
Recycle,RefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsappafterrecycleapk,20.31713607,21395.7875
UseSparseArrays,NonRefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsappusesparsearraysapk,19.8898911,22159.75261
UseSparseArrays,RefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsappafterusesparsearraysapk,18.82540478,22971.11697
UsevalueOf,NonRefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsappusevalueofapk,17.85693401,23596.52334
UsevalueOf,RefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsappafterusevalueofapk,17.01444148,24115.44558
ViewHolder,NonRefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsappviewholderapk,16.72403306,26911.02389
ViewHolder,RefactoredApp,Galaxy A5,hometeerathandroid-runnerexamplenlvucsappafterviewholderapk,16.71152597,28147.57677
